ad_name,ad_id,talent,spend,QL,NRI,TQL_booked,TD,CPTD,content_format,creative_type,talent_type,talent_name,production_style,campaign_audience,pain_benefit,headline_theme,language
USA_PFX_FB_Leads-Conv_NA_Int-Expats-Gujarati_LeadGen_NA_Video_Gujarati-Testimonial-Nidhi-Shah-021225,120235412101540278,Nidhi,2901,0,0,0,0,,Testimonial,Video,Influencer,Nidhi,UGC,Vernacular (BAU),Confidence | Grades & School | Parent Peace of Mind,Student Outcomes | Social Proof,Gujarati
USA_PFX_FB_Leads-Conv_NA_Int-Expats-Telugu_LeadGen_NA_Video_Testimonial-Deepthi-31s-Telugu_111125,120234326377200278,Deepthi,54675,18,18,7,3,18225.0,Testimonial,Video,Influencer,Deepthi Bandaru,UGC,NRI (BAU),Grades & School,Student Outcomes,Telugu
USA_PFX_FB_Leads-Conv_NA_Int-Expats-Telugu_LeadGen_NA_Video_Testimonial-Deepthi-31s-Telugu_111125,120236528704460278,Deepthi,31781,18,18,7,3,10594.0,Testimonial,Video,Influencer,Deepthi Bandaru,UGC,NRI (BAU),Grades & School,Student Outcomes,Telugu
USA_PFX_FB_Leads-Conv_NA_Int-Expats-Telugu_LeadGen_NA_Video_Testimonial-Deepthi-31s-Telugu_111125,120237224218880278,Deepthi,126409,18,18,7,3,42137.0,Testimonial,Video,Influencer,Deepthi Bandaru,UGC,NRI (BAU),Grades & School,Student Outcomes,Telugu
USA_PFX_FB_Leads-Conv_NA_Int_Influencer-Postboost_ShortForm-LP_NA_Video_Priyanshul_250925,120231947900240278,Priyanshul,74342,0,0,0,0,,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer,Confidence,Student Outcomes,English
USA_PFX_FB_Leads-Conv_NA_Int_Influencer-Postboost_ShortForm-LP_NA_Video_Priyanshul_250925,120235899236820278,Priyanshul,11866,0,0,0,0,,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer,Confidence,Student Outcomes,English
USA_PFX_FB_Leads-Conv_NA_Int_Influencer-_ShortForm-LP_NA_Video_Priyanshul-2_031125,120233910218410278,Priyanshul,126463,0,0,0,0,,Talking Head,Video,Influencer,Priyanshul,UGC,Influencer (BAU),Grades & School,Student Outcomes,English
USA_PFX_FB_Leads-Conv_NA_Int_Influencer-_ShortForm-LP_NA_Video_Priyanshul-2_031125,120235899236840278,Priyanshul,8655,0,0,0,0,,Talking Head,Video,Influencer,Priyanshul,UGC,Influencer (BAU),Grades & School,Student Outcomes,English
USA_PFX_FB_Leads-Conv_NRI-States_Int-Languages-Telugu_LeadGen_NA_Video_Testimonial-Deepthi-31s-Telugu_111125,120234325805200278,Deepthi,7435,0,0,0,0,,Testimonial,Video,Influencer,Deepthi Bandaru,UGC,NRI (BAU),Confidence | Grades & School | Foundation Building,Student Outcomes | Social Proof,Telugu
USA_PFX_FB_Leads_Conv_Advantage+Audience_Telugu_LeadGen_NA_Video_Testimonial-Deepthi-31s-Telugu_111125,120236120806960278,Deepthi,24735,0,0,0,0,,Testimonial,Video,Influencer,Deepthi Bandaru,UGC,Vernacular (BAU),Grades & School,Student Outcomes,Telugu
USA_PFX_FB_Leads_Conv_Int_Influencer_Advantage_ShortForm-LP_NA_Video_Priyanshul-2_041125,120233969538530278,Priyanshul,18555,0,0,0,0,,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer,Tutor Quality | Personalization,Social Proof,English
USA_PFX_FB_Leads_Conv_Int_Influencer_Advantage_ShortForm-LP_NA_Video_Priyanshul_041125,120233969538550278,Priyanshul,231251,0,0,0,0,,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer,Confidence | Grades & School | Thinking vs Calculating,Student Outcomes | Social Proof,English
USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_NA_Video_Priyanshul-2_060326,120239288079670278,Priyanshul,3473,3,0,0,0,,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer (BAU),Grades & School,Student Outcomes,English
USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_NA_Video_Priyanshul_060326,120239288079680278,Priyanshul,37008,6,1,1,0,,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer (BAU),Confidence | Grades & School,Student Outcomes,English
USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_NA_Video_Priyanshul_170326,120240203836530278,Priyanshul,67261,6,2,0,0,,,,,,,,,,
USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_NA_Video_Priyanshul_IG_060326,120239288079660278,Priyanshul,848,0,0,0,0,,,,,,,,,,
USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_Priyanshul-2_031125,120233910371660278,Priyanshul,73050,5,5,2,2,36525.0,Product Demo,Static,Influencer,Priyanshul,Static Graphic,Influencer (BAU),Personalization,Personalized Learning,English
USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_Priyanshul_131025,120232830887410278,Priyanshul,387349,69,52,9,5,77470.0,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer (BAU),Grades & School,Student Outcomes,English
USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_Priyanshul_IG_video_290126,120237702751650278,Priyanshul,556831,69,69,25,14,39774.0,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer (BAU),Grades & School,Student Outcomes,English
USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_Video_Priyanshul_IG_180226,120238534727560278,Priyanshul,219023,13,13,3,0,,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer (BAU),Grades & School,Student Outcomes,English
