ad_name,ad_id,canonical,notion_id,notion_slug,match_score,spend,QL,NRI,TQL_booked,TD,CPTD,content_format,creative_type,talent_type,talent_name,production_style,campaign_audience,pain_benefit,headline_theme,language
CAN_FB_Leads_Conv_Expats_34-55_Signup_Old_LP_NA_Static-Strong-math-Indian-tutors-310126,120237780336780278,strong-math-indian-tutors,,,0.0,406440,57,55,40,17,23908.0,Graphic Explainer,Static,,,Static Graphic,NRI (BAU),Tutor Quality,Expert Tutors,English
Math_Kangaroo_Static_30-Day-Prep_040126,120236891217320278,math_kangaroo_static_30-day-prep,,,0.0,373535,16,4,14,3,124512.0,Graphic Explainer,Static,,,Static Graphic,NRI (PLA),Competition Prep,Math Competition,English
USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_Old-LP_35-55_NRI_Contextual_Statics_NA_Static-Master-Math-this-Winter-White-060226,120242213711760529,master-math-this-winter-white,,,0.0,351921,36,18,31,11,31993.0,Graphic Explainer,Static,,,Static Graphic,NRI,Foundation Building,Promotional Offer,English
USA_FB_Leads_Conv_Advantage_Audience_High_NRI_Creatives_Scaling_Signup_Old-LP_NA_Static-Top-Indian-tutors-060226,120241764474980529,top-indian-tutors,,,0.0,346569,31,19,30,7,49510.0,Graphic Explainer,Static,,,Static Graphic,NRI,Tutor Quality,Expert Tutors,English
Static_W-Ch-Strong-Foundations_230226,120238786756270278,static_w-ch-strong-foundations,,,0.0,323813,43,5,40,7,46259.0,Graphic Explainer,Static,,,Static Graphic,Chinese (PLA),Foundation Building,Building Foundations,English
ANZ_PFX_FB_Leads_Conv_Int_All-Expats_35-55_Australia_Static_W-NAPLAN-Start-Summer_210126,120241108014650529,anz_pfx_fb_leads_conv_int_all-expats_35-55_australia_static_,,,0.0,297452,43,4,21,15,19830.0,Graphic Explainer,Static,,,Static Graphic,General (BAU),Grades & School,Building Foundations,English
MEA_AKT_FB_Leads_Conv_Interest_Maths_Engaged_shoppers_Parents_with_preteens_NA_Static_O-Strong-Foundations_V2-121225,120239294290930529,o-strong-foundations_v2,,,0.0,275051,39,19,22,13,21158.0,,,,,,,,,
USA_AKT_FB_Leads_Conv_Advantage_Audience-Telugu_35-55_LeadGen_Telugu_Creatives_Telugu_copy_NA_Static_Balamaina_Math_Foundation_150126,120237289931920278,balamaina_math_foundation,,,0.0,257222,27,27,9,3,85741.0,Graphic Explainer,Static,,,Static Graphic,Vernacular (BAU),Foundation Building,Building Foundations,Telugu
MEA_AKT_FB_Leads_Conv_UAE_HNIs_Targeting_LP_Pricing_Creatives_60AED_Signup_NA_Static-IB-MYP1_260126,120241309855660529,ib-myp1,,,0.0,244062,17,0,12,4,61016.0,Graphic Explainer,Static,Parent,,Static Graphic,General,Foundation Building | Personalization | Tutor Quality,Promotional Offer | Expert Tutors,English
Mea_PFX_FB_Leads-Conv_AD-DH-Sha-Cities_Int-Premium_LeadGen_NA_Static_Y-Girl-MathFit_240925,120234243117660529,y-girl-mathfit,,,0.0,241594,28,3,14,8,30199.0,,,,,,,,,
USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_Math-Kangaroo_LeadGen_NA_Static-Build Skills-V2-111225,120235861161630278,build skills-v2,,,0.0,228113,21,21,11,5,45623.0,Graphic Explainer,Static,Child,,Static Graphic,NRI (BAU),Foundation Building,Building Foundations,English
ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Static_W-NAPLAN-2026-Ready_030226,120241620625770529,anz_fb_leads_conv_lal-ql-0to2%_australia_static_w-naplan-202,,,0.0,227400,36,10,15,7,32486.0,Graphic Explainer,Static,Child,,Static Graphic,Lookalike (BAU),Grades & School,Student Outcomes,English
ANZ_FB_Leads_Conv_Parents-All-Pri+Sec_Australia_Static_Y-Testimonial-Vishal_020326,120242719342030529,anz_fb_leads_conv_parents-all-pri+sec_australia_static_y-tes,,,0.0,203618,33,26,20,13,15663.0,Testimonial,Static,Parent,Vishal,Static Graphic,General (BAU),Grades & School,Social Proof,English
