ad_name,ad_id,canonical,spend,QL,NRI,TQL_booked,TD,CPTD,content_format,creative_type,talent_type,talent_name,production_style,campaign_audience,pain_benefit,headline_theme,language
ANZ_FB_Leads_Conv_Expats-India_Australia_Video_NAPLAN-Review-Static-Based_060426,120244518636750529,anz_fb_leads_conv_expats-india_australia_video_naplan-review,42442,2,2,2,2,21221.0,Testimonial,Video,Parent,,Static Graphic,NRI (BAU),Grades & School,Student Outcomes,English
ANZ-NZ_FB_Leads_Conv_Parents-Pri+Sec_Australia_Form_Video_Testimonial-Manish_280126,120241397921930529,anz-nz_fb_leads_conv_parents-pri+sec_australia_form_video_te,41831,7,1,4,2,20916.0,Testimonial,Video,Parent,Manish,UGC,"ANZ-NZ_FB_Leads_Conv_Parents_LeadGen_280 (BAU, unclassified)",Grades & School,Student Outcomes,English
ANZ_FB_Leads_Conv_Int-Parenting_Australia_Static_NAPLAN-Chinese_050126,120240427481590529,anz_fb_leads_conv_int-parenting_australia_static_naplan-chin,41648,5,5,2,2,20824.0,Graphic Explainer,Static,,,Static Graphic,Interest (BAU),Grades & School,Student Outcomes,English
ANZ_FB_Leads_Conv_LAL-PayU_Australia_Video_Mother-Video-V2_290126,120241421254930529,anz_fb_leads_conv_lal-payu_australia_video_mother-video-v2,41095,4,0,3,3,13698.0,Testimonial,Video,Parent,,UGC,Lookalike (BAU),Confidence | Grades & School | Parent Peace of Mind,Parent Peace of Mind | Student Outcomes,English
ANZ_FB_Leads_Conv_LAL-PayU_Australia_Video_Testimonial-Priyanka_110226,120241902270350529,anz_fb_leads_conv_lal-payu_australia_video_testimonial-priya,38373,3,0,2,2,19187.0,Testimonial,Video,Influencer,Priyanka D,UGC,Lookalike (BAU),Grades & School,Student Outcomes,English
Video_Chinese-Hero-28s_280126,120237659900540278,video_chinese-hero-28s,38334,6,2,6,2,19167.0,Skit/Story,Video,Child,,Studio,NRI (PLA),Foundation Building,Student Outcomes,Other
ANZ_FB_Leads_Conv_Locations_Australia_Video_Testimonial-Gunjan-Video-V2_060226,120241723959610529,anz_fb_leads_conv_locations_australia_video_testimonial-gunj,35719,5,0,3,2,17860.0,Testimonial,Video,Parent,Gunjan,Studio,Geo (BAU),Parent Peace of Mind,Parent Peace of Mind,English
ANZ-SG_FB_Leads_Conv_int4C_Singapore_Static_Strong-Maths-Foundations_110226,120241936056160529,anz-sg_fb_leads_conv_int4c_singapore_static_strong-maths-fou,32226,2,0,2,2,16113.0,Graphic Explainer,Static,,,Static Graphic,Interest (BAU),Foundation Building,Building Foundations,English
ANZ-SG_FB_Leads_Conv_LAL-PayU_Singapore_Video_Testimonial2-Rishva_260226,120242579935540529,anz-sg_fb_leads_conv_lal-payu_singapore_video_testimonial2-r,31972,3,0,2,2,15986.0,Testimonial,Video,Parent,Rishva,UGC,Lookalike (BAU),Confidence | Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Expats_NRI_Audience_Signup_LP_Influencer_Perf_Edit_NA_Video_Influencer_Perf_Edit_Shweta_Negi_250326,120240203002900278,influencer_perf_edit_shweta_negi,29769,3,1,2,2,14885.0,Testimonial,Video,Influencer,Shweta Negi,UGC,NRI,Personalization,Student Outcomes,English
ANZ_FB_Leads_Conv_RM-Combined_Australia_Video_Testimonial-Gunjan-Video-V2_050126,120240429149160529,anz_fb_leads_conv_rm-combined_australia_video_testimonial-gu,29745,5,1,3,3,9915.0,Testimonial,Video,Parent,Gunjan,Studio,Retargeting (BAU),Confidence | Grades & School | Parent Peace of Mind,Student Outcomes,English
MEA_AKT_FB_Leads_Conv_UAE_High_Intent_Targeting_Signup_LP_NA_Video_Brand-Mission-27s_080226,120242358817200529,brand-mission-27s,29520,5,0,5,2,14760.0,Graphic Explainer,Static,,,Static Graphic,General,Foundation Building,Building Foundations,English
CAN_FB_Leads_Conv_Expats_34-55_Signup_Old_LP_NA_Video_English-Testimonial-Kasi-Madi-25s_020126,120237248365570278,english-testimonial-kasi-madi-25s,26008,3,3,2,2,13004.0,Testimonial,Video,Parent,Kasi,UGC,NRI (BAU),Parent Peace of Mind,Social Proof,English
USA_FB_Leads_Conv_LAL_Enrolled_35-55_Republic_Day_LeadGen_NA_Static-strong-math-foundations-200126,120237428922170278,strong-math-foundations,24325,3,3,2,2,12163.0,Graphic Explainer,Static,Child,,Static Graphic,Lookalike (BAU),Foundation Building,Building Foundations,English
USA_FB_Leads_Conv_CTF_LAL_Enrolled_Signup_LP_Static_Accelerate_Toward_AP_Calculus_BC_180326,120239871010410278,static_accelerate_toward_ap_calculus_bc,22015,3,0,3,3,7339.0,Graphic Explainer,Static,,,Static Graphic,General,Competition Prep,Math Competition,English
ANZ_FB_Leads_Conv_Parents-All-Pri+Sec_Australia_Static_W-Testimonial-NAPLAN_290126,120241417942980529,anz_fb_leads_conv_parents-all-pri+sec_australia_static_w-tes,19070,3,0,2,2,9535.0,Testimonial,Static,Parent,,Static Graphic,"ANZ_FB_Leads_Conv_All-Parents_LeadGen_29 (BAU, unclassified)",Grades & School,Student Outcomes,English
ANZ-NZ_FB_Leads_Conv_PayU_New-Zealand_Video_New-Hero-4_110226,120241934286410529,anz-nz_fb_leads_conv_payu_new-zealand_video_new-hero-4,12462,2,0,2,2,6231.0,Product Demo,Video,,,Animated,Lookalike (BAU),Personalization,Personalized Learning,English
